phylum;taxon_id_parent;n_hok_1980-1999;n_hok_2000-2019;n_hok_tot_1980-1999;n_hok_tot_2000-2019;prop_baseline;prop_2000_2019;ell_l;ell_n;ell_f;ell_r;ell_t;substrate;residuals_model_substrate;residuals_model_ellenberg
Bryophyta;  42; 21; 15;227;227;0,09691630;0,070484581;1;4; 6;7;6;rock, hard; -3,256460035;-3,952749167
Bryophyta;  42; 21; 15;227;227;0,09691630;0,070484581;1;4; 6;7;6;rock, soft; -3,094280318;-3,952749167
Bryophyta;  42; 21; 15;227;227;0,09691630;0,070484581;1;4; 6;7;6;artificial stone; -2,789181584;-3,952749167
Bryophyta;  60; 41; 92;227;227;0,18502203;0,409691630;4;3; 6;3;4;decorticated wood;  5,746658909; 5,337846174
Bryophyta;  65; 27; 44;227;227;0,12334802;0,198237885;5;5; 6;7;3;epiphytic on living wood; -0,690222774; 1,581718998
Bryophyta;  65; 27; 44;227;227;0,12334802;0,198237885;5;5; 6;7;3;rock, hard;  0,716248025; 1,581718998
Bryophyta;  65; 27; 44;227;227;0,12334802;0,198237885;5;5; 6;7;3;artificial stone;  1,408487556; 1,581718998
Bryophyta;  87; 24; 32;227;227;0,11013216;0,145374449;7;3; 9;4;6;gravel or sand;  0,011292442; 0,598392219
Bryophyta;  87; 24; 32;227;227;0,11013216;0,145374449;7;3; 9;4;6;rock, hard; -0,733312577; 0,598392219
Bryophyta;  87; 24; 32;227;227;0,11013216;0,145374449;7;3; 9;4;6;mineral soil;  0,336750150; 0,598392219
Bryophyta;  91;  5;  1;227;227;0,02643172;0,008810573;7;7; 8;7;7;mineral soil; -2,382339331;-2,267600287
Bryophyta;  93; 17;  4;227;227;0,07929515;0,022026432;7;4; 5;5;5;gravel or sand; -4,251054907;-4,578286957
Bryophyta;  93; 17;  4;227;227;0,07929515;0,022026432;7;4; 5;5;5;mineral soil; -4,072688517;-4,578286957
Bryophyta;  93; 17;  4;227;227;0,07929515;0,022026432;7;4; 5;5;5;soil on rock; -4,465957316;-4,578286957
Bryophyta;  96; 12;  8;227;227;0,05726872;0,039647577;8;3; 3;8;7;gravel or sand; -2,311878393;-3,357985357
Bryophyta;  96; 12;  8;227;227;0,05726872;0,039647577;8;3; 3;8;7;rock, soft; -2,621987232;-3,357985357
Bryophyta;  96; 12;  8;227;227;0,05726872;0,039647577;8;3; 3;8;7;artificial stone; -2,390766831;-3,357985357
Bryophyta;  96; 12;  8;227;227;0,05726872;0,039647577;8;3; 3;8;7;mineral soil; -2,126210022;-3,357985357
Bryophyta;  96; 12;  8;227;227;0,05726872;0,039647577;8;3; 3;8;7;soil on rock; -2,532976437;-3,357985357
Bryophyta; 104;209;218;227;227;0,92511013;0,964757709;5;6; 6;7;5;decorticated wood;  2,048023354; 2,355276303
Bryophyta; 104;209;218;227;227;0,92511013;0,964757709;5;6; 6;7;5;epiphytic on living wood;  1,182889533; 2,355276303
Bryophyta; 104;209;218;227;227;0,92511013;0,964757709;5;6; 6;7;5;gravel or sand;  2,344145386; 2,355276303
Bryophyta; 104;209;218;227;227;0,92511013;0,964757709;5;6; 6;7;5;rock, hard;  1,900547918; 2,355276303
Bryophyta; 104;209;218;227;227;0,92511013;0,964757709;5;6; 6;7;5;rock, soft;  2,024181345; 2,355276303
Bryophyta; 104;209;218;227;227;0,92511013;0,964757709;5;6; 6;7;5;artificial stone;  2,261577321; 2,355276303
Bryophyta; 104;209;218;227;227;0,92511013;0,964757709;5;6; 6;7;5;mineral soil;  2,541734511; 2,355276303
Bryophyta; 124;  9; 11;227;227;0,04405286;0,052863436;5;5; 5;8;3;epiphytic on living wood; -1,896736048;-0,914087241
Bryophyta; 124;  9; 11;227;227;0,04405286;0,052863436;5;5; 5;8;3;rock, hard; -1,112408350;-0,914087241
Bryophyta; 124;  9; 11;227;227;0,04405286;0,052863436;5;5; 5;8;3;rock, soft; -0,981673386;-0,914087241
Bryophyta; 124;  9; 11;227;227;0,04405286;0,052863436;5;5; 5;8;3;artificial stone; -0,734069021;-0,914087241
Bryophyta; 124;  9; 11;227;227;0,04405286;0,052863436;5;5; 5;8;3;mineral soil; -0,447461555;-0,914087241
Bryophyta; 136; 11; 12;227;227;0,05286344;0,057268722;7;3; 8;4;5;mineral soil; -0,809673288;-0,786585956
Bryophyta; 139; 63; 43;227;227;0,28193833;0,193832599;7;3; 8;4;3;gravel or sand; -4,394698281;-3,384034788
Bryophyta; 139; 63; 43;227;227;0,28193833;0,193832599;7;3; 8;4;3;mineral soil; -4,005784729;-3,384034788
Bryophyta; 140;207;211;227;227;0,91629956;0,933920705;4;5; 6;5;5;gravel or sand;  1,065263721; 0,774802447
Bryophyta; 140;207;211;227;227;0,91629956;0,933920705;4;5; 6;5;5;mineral soil;  1,307433560; 0,774802447
Bryophyta; 142;198;161;227;227;0,87665198;0,713656388;5;4; 6;3;4;decaying vegetation; -7,398422230;-7,661515016
Bryophyta; 142;198;161;227;227;0,87665198;0,713656388;5;4; 6;3;4;decorticated wood; -8,100489101;-7,661515016
Bryophyta; 142;198;161;227;227;0,87665198;0,713656388;5;4; 6;3;4;epiphytic on living wood;-10,444197849;-7,661515016
Bryophyta; 142;198;161;227;227;0,87665198;0,713656388;5;4; 6;3;4;peat; -7,798193784;-7,661515016
Bryophyta; 143; 68; 80;227;227;0,30396476;0,356828194;7;2; 8;3;2;peat; -0,271604396; 1,312574579
Bryophyta; 143; 68; 80;227;227;0,30396476;0,356828194;7;2; 8;3;2;mineral soil;  0,579413772; 1,312574579
Bryophyta; 151;163;192;227;227;0,72246696;0,850220264;7;5; 4;7;6;gravel or sand;  3,816807601; 2,939396923
Bryophyta; 151;163;192;227;227;0,72246696;0,850220264;7;5; 4;7;6;mineral soil;  4,176555894; 2,939396923
Bryophyta; 151;163;192;227;227;0,72246696;0,850220264;7;5; 4;7;6;soil on rock;  3,398626765; 2,939396923
