phylum,taxon_id_parent,n_hok_1980_1999,n_hok_2000_2019,n_hok_tot_1980_1999,n_hok_tot_2000_2019,ell_l,ell_n,ell_f,ell_r,ell_t,substrate,wei
Bryophyta,42,21,15,227,227,1,4,6,7,6,"rock, hard",0.3333333333333333
Bryophyta,42,21,15,227,227,1,4,6,7,6,"rock, soft",0.3333333333333333
Bryophyta,42,21,15,227,227,1,4,6,7,6,artificial stone,0.3333333333333333
Bryophyta,46,1,3,227,227,8,2,9,5,2,mineral soil,1
Bryophyta,58,3,4,227,227,9,6,7,7,5,gravel or sand,0.3333333333333333
Bryophyta,58,3,4,227,227,9,6,7,7,5,mineral soil,0.3333333333333333
Bryophyta,58,3,4,227,227,9,6,7,7,5,soil on rock,0.3333333333333333
Bryophyta,60,41,92,227,227,4,3,6,3,4,decorticated wood,1
Bryophyta,65,27,44,227,227,5,5,6,7,3,epiphytic on living wood,0.3333333333333333
Bryophyta,65,27,44,227,227,5,5,6,7,3,"rock, hard",0.3333333333333333
Bryophyta,65,27,44,227,227,5,5,6,7,3,artificial stone,0.3333333333333333
Bryophyta,84,1,1,227,227,6,4,6,5,3,"rock, hard",0.3333333333333333
Bryophyta,84,1,1,227,227,6,4,6,5,3,mineral soil,0.3333333333333333
Bryophyta,84,1,1,227,227,6,4,6,5,3,soil on rock,0.3333333333333333
Bryophyta,85,4,2,227,227,8,3,9,4,3,gravel or sand,0.3333333333333333
Bryophyta,85,4,2,227,227,8,3,9,4,3,"rock, hard",0.3333333333333333
Bryophyta,85,4,2,227,227,8,3,9,4,3,mineral soil,0.3333333333333333
Bryophyta,86,1,3,227,227,8,2,9,8,2,gravel or sand,0.25
Bryophyta,86,1,3,227,227,8,2,9,8,2,"rock, hard",0.25
Bryophyta,86,1,3,227,227,8,2,9,8,2,"rock, soft",0.25
Bryophyta,86,1,3,227,227,8,2,9,8,2,mineral soil,0.25
Bryophyta,87,24,32,227,227,7,3,9,4,6,gravel or sand,0.5
Bryophyta,87,24,32,227,227,7,3,9,4,6,mineral soil,0.5
Bryophyta,91,5,1,227,227,7,7,8,7,7,mineral soil,1
Bryophyta,93,17,4,227,227,7,4,5,5,5,gravel or sand,0.3333333333333333
Bryophyta,93,17,4,227,227,7,4,5,5,5,mineral soil,0.3333333333333333
Bryophyta,93,17,4,227,227,7,4,5,5,5,soil on rock,0.3333333333333333
Bryophyta,96,12,8,227,227,8,3,3,8,7,gravel or sand,0.2
