id,scientific_name,rank,order,phylum,kingdom,genus,class,family
42,"Gyroweisia tenuis W.P.Schimper, 1876",SPECIES,Pottiales,Bryophyta,Plantae,Gyroweisia,Bryopsida,Pottiaceae
44,"Habrodon perpusillus Lindberg, 1863",SPECIES,Hypnales,Bryophyta,Plantae,Habrodon,Bryopsida,Leskeaceae
46,"Hamatocaulis vernicosus Hedenäs, 1989",SPECIES,Hypnales,Bryophyta,Plantae,Hamatocaulis,Bryopsida,Amblystegiaceae
53,"Hedwigia ciliata Palisot de Beauvois, 1805",SPECIES,Leucodontales,Bryophyta,Plantae,Hedwigia,Bryopsida,Hedwigiaceae
54,"Hedwigia stellata Hedenäs, 1994",SPECIES,Leucodontales,Bryophyta,Plantae,Hedwigia,Bryopsida,Hedwigiaceae
58,"Hennediella heimii Zander, 1993",SPECIES,Pottiales,Bryophyta,Plantae,Hennediella,Bryopsida,Pottiaceae
60,"Herzogiella seligeri Iwatsuki, 1970",SPECIES,Hypnales,Bryophyta,Plantae,Herzogiella,Bryopsida,Hypnaceae
65,Homalia trichomanoides (Hedw.) Brid.,SPECIES,Leucodontales,Bryophyta,Plantae,Homalia,Bryopsida,Neckeraceae
68,Pallavicinia lyellii (Hook.) Carruth.,SPECIES,Metzgeriales,Marchantiophyta,Plantae,Pallavicinia,Jungermanniopsida,Pallaviciniacea
77,Pellia endiviifolia (Dicks.) Dumort.,SPECIES,Fossombroniales,Marchantiophyta,Plantae,Pellia,Jungermanniopsida,Pelliacaea
78,Pellia epiphylla (L.) Corda,SPECIES,Pelliales,Marchantiophyta,Plantae,Pellia,Jungermanniopsida,Pelliaceae
79,Pellia neesiana (Gottsche) Limpr.,SPECIES,Pelliales,Marchantiophyta,Plantae,Pellia,Jungermanniopsida,Pelliaceae
81,Phaeoceros carolinianus (Michx.) Prosk.,SPECIES,Notothyladales,Anthocerotophyta,Plantae,Phaeoceros,Anthocerotopsida,Notothyladaceae
84,"Philonotis arnellii Husnot, 1890",SPECIES,Bryales,Bryophyta,Plantae,Philonotis,Bryopsida,Bartramiaceae
85,Philonotis caespitosa Jur.,SPECIES,Bryales,Bryophyta,Plantae,Philonotis,Bryopsida,Bartramiaceae
86,"Philonotis calcarea W.P.Schimper, 1856",SPECIES,Bryales,Bryophyta,Plantae,Philonotis,Bryopsida,Bartramiaceae
87,"Philonotis fontana Bridel, 1827",SPECIES,Bryales,Bryophyta,Plantae,Philonotis,Bryopsida,Bartramiaceae
88,"Philonotis marchica Bridel, 1827",SPECIES,Bryales,Bryophyta,Plantae,Philonotis,Bryopsida,Bartramiaceae
91,"Physcomitrium eurystomum Sendtner, 1841",SPECIES,Funariales,Bryophyta,Plantae,Physcomitrium,Bryopsida,Funariaceae
93,Acaulon muticum (Hedw.) Müll.Hal.,SPECIES,Pottiales,Bryophyta,Plantae,Acaulon,Bryopsida,Pottiaceae
96,"Aloina aloides Kindberg, 1883",SPECIES,Pottiales,Bryophyta,Plantae,Aloina,Bryopsida,Pottiaceae
97,"Aloina rigida Limpricht, 1888",SPECIES,Pottiales,Bryophyta,Plantae,Aloina,Bryopsida,Pottiaceae
99,Amblyodon dealbatus (Sw. ex Hedw.) P.Beauv.,SPECIES,Bryales,Bryophyta,Plantae,Amblyodon,Bryopsida,Meesiaceae
103,Amblystegium radicale (P.Beauv.) Schimp.,SPECIES,Hypnales,Bryophyta,Plantae,Amblystegium,Bryopsida,Amblystegiaceae
104,"Amblystegium serpens W.P.Schimper, 1853",SPECIES,Hypnales,Bryophyta,Plantae,Amblystegium,Bryopsida,Amblystegiaceae
115,Aneura maxima (Schiffn.) Steph.,SPECIES,Metzgeriales,Marchantiophyta,Plantae,Aneura,Jungermanniopsida,Aneuraceae
116,Aneura pinguis (L.) Dumort.,SPECIES,Metzgeriales,Marchantiophyta,Plantae,Aneura,Jungermanniopsida,Aneuraceae
121,"Anomodon attenuatus Hübener, 1833",SPECIES,Hypnales,Bryophyta,Plantae,Anomodon,Bryopsida,Thuidiaceae
124,"Anomodon viticulosus W.J.Hooker & Taylor, 1818",SPECIES,Hypnales,Bryophyta,Plantae,Anomodon,Bryopsida,Thuidiaceae
126,Anthoceros agrestis Paton,SPECIES,Anthocerotales,Anthocerotophyta,Plantae,Anthoceros,Anthocerotopsida,Anthocerotaceae
127,Anthoceros caucasicus Steph.,SPECIES,Anthocerotales,Anthocerotophyta,Plantae,Anthoceros,Anthocerotopsida,Anthocerotaceae
128,Anthoceros punctatus L.,SPECIES,Anthocerotales,Anthocerotophyta,Plantae,Anthoceros,Anthocerotopsida,Anthocerotaceae
130,"Antitrichia curtipendula Bridel, 1819",SPECIES,Leucodontales,Bryophyta,Plantae,Antitrichia,Bryopsida,Leucodontaceae
136,"Archidium alternifolium Mitten, 1851",SPECIES,Archidiales,Bryophyta,Plantae,Archidium,Bryopsida,Archidiaceae
138,"Atrichum angustatum Bruch & W.P.Schimper, 1844",SPECIES,Polytrichales,Bryophyta,Plantae,Atrichum,Bryopsida,Polytrichaceae
139,"Atrichum tenellum Bruch & W.P.Schimper, 1844",SPECIES,Polytrichales,Bryophyta,Plantae,Atrichum,Bryopsida,Polytrichaceae
140,"Atrichum undulatum Palisot de Beauvois, 1805",SPECIES,Polytrichales,Bryophyta,Plantae,Atrichum,Bryopsida,Polytrichaceae
